testsetratio;rfdepth;learners;alphafactor;RF training (sec);RF evaluation (sec);RF accuracy;RORF building (sec);RORF evaluation (sec);RORF accuracy;RORF full evaluation (sec);RORF full accuracy;RF fake accuracy;RORF fake accuracy;RORF fake full accuracy;
0,9;2;2;0,2;0,005336761474609375;0,0015234947204589844;0,5991091314031181;0,0018966197967529297;2,778543710708618;0,5991091314031181;2,836984872817993;0,5991091314031181;1,0;1,0;1,0;
0,9;2;3;0,2;0,006495475769042969;0,0016694068908691406;0,7015590200445434;0,0020067691802978516;3,911687135696411;0,7015590200445434;3,926100015640259;0,7037861915367484;1,0;1,0;1,0;
0,9;2;4;0,2;0,008218526840209961;0,0018019676208496094;0,6614699331848553;0,0028624534606933594;5,564040899276733;0,6614699331848553;5,5963921546936035;0,6547884187082406;1,0;1,0;1,0;
0,9;2;5;0,2;0,009621143341064453;0,00200653076171875;0,6792873051224945;0,0035161972045898438;7,65847373008728;0,6792873051224945;7,562529802322388;0,6792873051224945;1,0;1,0;1,0;
0,9;2;6;0,2;0,011202812194824219;0,0020835399627685547;0,7060133630289532;0,004854440689086914;11,27562928199768;0,7060133630289532;10,978440761566162;0,7104677060133631;1,0;1,0;1,0;
0,9;2;7;0,2;0,01292562484741211;0,002271890640258789;0,7394209354120267;0,007260799407958984;17,987884521484375;0,7394209354120267;18,059640884399414;0,734966592427617;0,0;0,0;0,0;
0,9;2;8;0,2;0,014448165893554688;0,002393960952758789;0,732739420935412;0,01195383071899414;33,28927206993103;0,732739420935412;33,396541595458984;0,7438752783964365;1,0;1,0;1,0;
0,9;2;9;0,2;0,016376495361328125;0,002671480178833008;0,6971046770601337;0,0217745304107666;67,9643018245697;0,6971046770601337;67,60593104362488;0,7282850779510023;1,0;1,0;1,0;
0,9;2;10;0,2;0,018133163452148438;0,002760648727416992;0,6458797327394209;0,04229235649108887;146,79964017868042;0,6458797327394209;145,8231818675995;0,621380846325167;0,0;0,0;0,0;
0,9;2;11;0,2;0,019446134567260742;0,002884387969970703;0,734966592427617;0,08029794692993164;329,23777294158936;0,734966592427617;332,0704517364502;0,7416481069042317;1,0;1,0;1,0;
